2026.8월1주,2026.8월2주,2026.8월3주,2026.8월4주,2026.8월5주
"GREK
XLF
EWS
EWU
EWA","IGV
EWP
CIBR
화장품(228790)
EWS","화장품(228790)
EWS
IBB
CIBR
XBI","화장품(228790)
ARKK
ETHA
IBB
SVXY","화장품(228790)
ETHA
IBIT
SVXY
ARKK"
2026.7월1주,2026.7월2주,2026.7월3주,2026.7월4주,2026.7월5주
"XBI
IBB
KBE
JETS
KRE","EWS
SVXY
CIBR
XBI
IBB","KBE
XLF
ENZL
EWC
EWS","XLE
SCHD
VYM
PDBC
VNQ","SCHD
VYM
EWS
VTV
VNQ"
2026.6월1주,2026.6월2주,2026.6월3주,2026.6월4주,2026.6월5주
"반도체(091160)
밸류업(495050)
SOXX
SMH
EWY","IJR
VTV
XLV
VNQ
SOXX","IJR
반도체(091160)
톱반도(446770)
밸류업(495050)
VTV","톱반도(446770)
반도체(091160)
SMH
XBI
JETS","IJR
XBI
KBE
JETS"
2026.5월1주,2026.5월2주,2026.5월3주,2026.5월4주,2026.5월5주
"반도체(091160)
신재생(377990)
티모멘(147970)
반소부(455850)
전력인(487230)","반도체(091160)
밸류업(495050)
코스피(069500)
티모멘(147970)
신재생(377990)","SMH
SOXX
XLK
PDBC
중로봇(0048K0)","SOXX
중로봇(0048K0)
XLK
XLE","SOXX
중로봇(0048K0)
XLK
XLE
반도체(091160)"
2026.4월1주,2026.4월2주,2026.4월3주,,,2026.4월4주,2026.4월5주
"DBA
PDBC
XLE
EWZ
KSA","EWZ
이차전(305720)
THD
건설주(117700)
PDBC","반도체(091160)
신재생(377990)
밸류업(495050)
티모멘(147970)
전력인(487230)",,,"건설주(117700)
신재생(377990)
반도체(091160)
반소부(455850)
티모멘(147970)","건설주(117700)
신재생(377990)
반도체(091160)
반소부(455850)
티모멘(147970)"
2026.3월2주,2026.3월3주,2026.3월4주,2026.3월5주,2026.3월6주
"XLE
PDBC
반소부(455850)
EIS
REMX","PDBC
DBA
방산주(449450)
반소부(455850)
XLE","XLE
PDBC
건설주(117700)
신재생(377990)
반도체(091160)","XLE
DBA
건설주(117700)
신재생(377990)
PDBC","XLE
DBA
PDBC"
2026.2월2주,2026.2월3주,2026.2월4주,2026.2월5주,
"SCHD
증권주(102970)
반도체(091160)
TUR
건설주(117700)","건설주(117700)
은행주(091170)
케모멘(325020)
XLB
증권주(102970)","EWY
증권주(102970)
THD
건설주(117700)
EWA","반도체(091160)
건설주(117700)
밸류업(495050)
EWY
코스피(069500)",
2026.1월1주,2026.1월2주,2026.1월3주,2026.1월4주,2026.1월5주
"EWY
밸류업(495050)
코스피(069500)
반도체(091160)
EEM","코스피(069500)
밸류업(495050)
EWY
반도체(091160)
케모멘(325020)","자동차(091180)
밸류업(495050)
SLV
코스피(069500)
원자력(434730)","밸류업(495050)
SLV
자동차(091180)
ai로봇(469070)
원자력(434730)","금현물(411060)
SLV
REMX
반도체(091160)
PICK"
2025.12월1주,2025.12월2주,2025.12월3주,2025.12월4주,2025.12월5주
"SLV
자동차(091180)
바이오(244580)
EWZ
PICK","ai로봇(469070)
EIS
SOXX
SMH
자동차(091180)","SLV
EZA
EWL
금현물(411060)
EWU","SLV
EZA
GLD
PICK
EWL","SLV
VEA
밸류업(495050)
EWY
PICK"
2025.11월2주,2025.11월3주,2025.11월4주,2025.11월5주,
"반도체(091160)
ICLN
바이오(244580)
신재생(377990)
코스닥(229200)","EWZ
EIS
IBB
XLV
은행주(091170)","XBI
IBB
바이오(244580)
인디아(453810)
LIT","XBI
IBB
XLV
인디아(453810)
IEF",
2025.10월1주,2025.10월2주,2025.10월3주,2025.10월4주,2025.10월5주
"LIT
SLV
ARKK
항셈테(371160)
XBI","SLV
REMX
ARKK
LIT
XBI","반도체(091160)
SLV
금현물(411060)
GLD
반소부(455850)","반도체(091160)
조선주(139230)
코스피(069500)
톱반도(446770)
이차전(305720)","반도체(091160)
조선주(139230)
톱반도(446770)
이차전(305720)
반소부(455850)"
2025.9월1주,2025.9월2주,2025.9월3주,2025.9월4주,2025.9월5주
"조선주(139230)
SLV
VNM
EWC
JETS","THD
EWS
반도체(091160)
LIT
조선주(139230)","반도체(091160)
반소부(455850)
0023A0
톱반도(446770)
THD","0023A0
LIT
반도체(091160)
SLV
반소부(455850)","LIT
SLV
금현물(411060)
REMX
항셈테(371160)"
2025.8월1주,2025.8월2주,2025.8월3주,2025.8월4주,2025.8월5주
"조선주(139230)
전력인(487230)
방산주(449450)
XLU
원자력(434730)","조선주(139230)
방산주(449450)
전력인(487230)
XLU
LQD","VNM
GREK
EWP
ETHA
REMX","VNM
REMX
TAN
ICLN
IBB","REMX
JETS
IWM
LIT
TAN"
2025.7월1주,2025.7월2주,2025.7월3주,2025.7월4주,2025.7월5주
"GREK
EIS
케모멘(325020)
SCZ
XLI","은행주(091170)
철강주(117680)
ARKK
ARKF
GREK","ARKW
ARKF
철강주(117680)
톱반도(446770)
은행주(091170)","철강주(117680)
REMX
ETHA
에너지(117460)
GREK","전력인(487230)
방산주(449450)
신재생(377990)
조선주(139230)
ETHA"
2025.6월2주,2025.6월3주,2025.6월4주,2025.6월5주,2025.6월6주
"ITA
증권주(102970)
화장품(228790)
조선주(139230)
건설주(117700)","증권주(102970)
조선주(139230)
원자력(434730)
화장품(228790)
건설주(117700)","원자력(434730)
증권주(102970)
조선주(139230)
방산주(449450)
신재생(377990)","원자력(434730)
증권주(102970)
티모멘(147970)
신재생(377990)
조선주(139230)","원자력(434730)
XAR
EIS
GREK
ITA"
2025.5월1주,2025.5월2주,2025.5월3주,2025.5월4주,2025.5월5주
"EWG
화장품(228790)
EWI
건설주(117700)
EWP","EWI
화장품(228790)
조선주(139230)
EWG
GREK","증권주(102970)
EWI
화장품(228790)
티모멘(147970)
GREK","GREK
EWP
조선주(139230)
EWI
EWW","화장품(228790)
증권주(102970)
조선주(139230)
건설주(117700)
원자력(434730)"
2025.4월1주,2025.4월2주,2025.4월3주,2025.4월4주,2025.4월5주
"GLD
금현물(411060)
IEF
AGG
XLE","IEF
BND
AGG","GLD
금현물(411060)
화장품(228790)
방산주(449450)
건설주(117700)","방산주(449450)
GLD
EWP
금현물(411060)
EWW","EWP
건설주(117700)
GREK
화장품(228790)
방산주(449450)"
2025.3월2주,2025.3월3주,2025.3월4주,2025.3월5주,2025.3월6주
"EWP
EWU
EWG
K팝(475050)
HYG","GREK
방산주(449450)
항셈테(371160)
철강주(117680)
EWI","GLD
GREK
방산주(449450)
FXI
EWI","자동차(091180)
코스피(069500)
케모멘(325020)
증권주(102970)
GREK","GLD
SLV
XLE
금현물(411060)
EWS"
2025.2월2주,2025.2월3주,2025.2월4주,2025.2월5주,
"ai로봇(469070)
K팝(475050)
금현물(411060)
우주방(478150)
XLC","금현물(411060)
방산주(449450)
항셈테(371160)
K팝(475050)
ai로봇(469070)","방산주(449450)
항셈테(371160)
조선주(139230)
유로스(195930)
GREK","항셈테(371160)
K팝(475050)
EWP
EWI
HYG",
2025.1월1주,2025.1월2주,2025.1월3주,2025.1월4주,2025.1월5주
"금현물(411060)
우주방(478150)
조선주(139230)
UNG
니케이(241180)","조선주(139230)
금현물(411060)
EIS
ai로봇(469070)
톱반도(446770)","조선주(139230)
UNG
전력인(487230)
PDBC
금현물(411060)","전력인(487230)
조선주(139230)
XAR
EIS
원자력(434730)","DBA
EWG
ARKW
EWS
XLF"
2024.12월2주,2024.12월3주,2024.12월4주,2024.12월5주,2024.12월6주
"ARKF
XLY
ARKK
ARKW
PTF","XLY
ARKW
DBA
JETS
ARKK","DBA
XLY
IBIT
나스닥(449190)
VUG","항셈테(371160)
조선주(139230)
EIS
UNG
톱반도(446770)","UNG
우주방(478150)
톱반도(446770)
금현물(411060)
조선주(139230)"
2024.11월1주,2024.11월2주,2024.11월3주,2024.11월4주,2024.11월5주
"JETS
XLC
IBIT
EIS
GLD","JETS
XLC
XLY
BOTZ
EIS","ARKF
ARKW
IBIT
XLY
JETS","IBIT
ARKF
XLE
EWS
ARKW","ARKF
PDP
EIS
ARKW
XAR"
2024.10월1주,2024.10월2주,2024.10월3주,2024.10월4주,2024.10월5주
"FXI
EWH
XLU
XLI
ITA","ITA
방산주(449450)
FXI
QMOM
LIT","XLI
XLF
ITA
ARKF
PDP","금현물(411060)
GLD
방산주(449450)
JETS
SLV","GLD
JETS
철강주(117680)
ARKW
금현물(411060)"
2024.9월2주,2024.9월3주,2024.9월4주,2024.9월5주,2024.9월6주
"XLRE
VNQ
XLF
XLU
XLV","SRVR
XLRE
VNQ
TLT
IEF","EPHE
EIDO
THD
EWS
VNQ","THD
EWM
EPHE
EIDO
EZA","XLI
XLB
FXI
EWH
EWM"
2024.8월1주,2024.8월2주,2024.8월3주,2024.8월4주,2024.8월5주
"XLRE
VNQ
은행주(091170)
조선주(139230)
AGG","IEF
TLT
AGG
BND
금현물(411060)","XLRE
EWM
XLP
HYG
XLU","VNQ
XLRE
EWM
ENZL
EZA","EWL
XLRE
EWM
VNQ
XLF"
2024.7월1주,2024.7월2주,2024.7월3주,2024.7월4주,2024.7월5주
"인디아(453810)
INDA
VUG
케모멘(325020)
PTF","EWT
VUG
나스닥(449190)
QQQ
XLK","조선주(139230)
증권주(102970)
IBB
원자력(434730)
IWM","IBB
TUR
XLRE
방산주(449450)
바이오(244580)","IJR
ITA
방산주(449450)
IBB
은행주(091170)"
2024.6월2주,2024.6월3주,2024.6월4주,2024.6월5주,
"톱반도(446770)
XLC
EWL
화장품(228790)
ITA","SMH
톱반도(446770)
SOXX
QQQ
VUG","톱반도(446770)
티모멘(147970)
화장품(228790)
반도체(091160)
EWT","인디아(453810)
티모멘(147970)
조선주(139230)
케모멘(325020)
XLC",
2024.5월1주,2024.5월2주,2024.5월3주,2024.5월4주,2024.5월5주
"XLU
TUR
화장품(228790)
원자력(434730)
티모멘(147970)","XLU
EWU
ITA
화장품(228790)
FXI","XLU
FXI
항셈테(371160)
조선주(139230)
화장품(228790)","화장품(228790)
원자력(434730)
신재생(377990)
티모멘(147970)
SLV","원자력(434730)
톱반도(446770)
신재생(377990)
SMH
조선주(139230)"
2024.4월1주,2024.4월2주,2024.4월3주,2024.4월4주,2024.4월5주
"반소부(455850)
반도체(091160)
XLE
금현물(411060)
GLD","SLV
GLD
원자력(434730)
XLE
DBA","금현물(411060)
DBA
GLD
SLV
원자력(434730)","방산주(449450)
원자력(434730)
조선주(139230)
DBA
화장품(228790)","원자력(434730)
조선주(139230)
티모멘(147970)
방산주(449450)
TUR"
2024.3월1주,2024.3월2주,2024.3월3주,2024.3월4주,2024.3월5주
"QMOM
EIS
PDP
XLI
ARKF","BOTZ
SMH
SOXX
톱반도(446770)
EWJ","은행주(091170)
원자력(434730)
ARKF
ARKW
반소부(455850)","DBA
조선주(139230)
XLF
원자력(434730)
EWI","DBA
반소부(455850)
원자력(434730)
반도체(091160)
방산주(449450)"
2024.2월1주,2024.2월2주,2024.2월3주,2024.2월4주,2024.2월5주
"은행주(091170)
INDA
QMOM
DIA
PDP","QMOM
자동차(091180)
GREK
은행주(091170)
VUG","톱반도(446770)
JETS
EIS
자동차(091180)
SMH","자동차(091180)
방산주(449450)
KSA
INDA
니케이(241180)","방산주(449450)
XLI
XBI
톱반도(446770)
PDP"
2024.1월1주,2024.1월2주,2024.1월3주,2024.1월4주,2024.1월5주
"반소부(455850)
반도체(091160)
톱반도(446770)
KSA
인디아(453810)","XLF
INDA
GREK
KSA
XBI","니케이(241180)
톱반도(446770)
QMOM
인디아(453810)
EWJ","톱반도(446770)
SMH
XLK
QMOM
SOXX","톱반도(446770)
XLF
BOTZ
VUG
XLC"
2023.12월1주,2023.12월2주,2023.12월3주,2023.12월4주,2023.12월5주
"GLD
INDA
EWP
ARKW
SLV","INDA
ARKW
ARKF
ITA
EWP","ARKW
ARKF
XLK
증권주(102970)
유로스(195930)","ARKW
ARKF
SMH
VUG
XLK","ARKF
EWZ
ARKW
XAR
SOXX"
2023.11월1주,2023.11월2주,2023.11월3주,2023.11월4주,2023.11월5주
"DBA
금현물(411060)","HYG
XLK
EWZ
DBA
증권주(102970)","XLK
EWZ
XLC
XAR
SMH","XLC
XLK
XAR
EWP
톱반도(446770)","EWP
ARKW
GLD
VUG
HYG"
2023.10월2주,2023.10월3주,2023.10월4주,2023.10월5주,2023.10월6주
TUR,"UNG
XLC","XLC
금현물(411060)
은행주(091170)
XLE","금현물(411060)
GLD
DBA","금현물(411060)
GLD"
2023.9월1주,2023.9월2주,2023.9월3주,2023.9월4주,2023.9월5주
